Идентификатор ведомости	Номер ведомости	Состояние	Дата начала периода ведомости	Дата окончания периода ведомос	Дата создания ведомости	Дата закрытия ведомости	Код плательщика	Код станции	Плата за пользование;1	Сумма штрафа;1	Сбор за подачу/уборку;1	Сбор за маневр. операции;1	Сбор за пробег локомотива;1	Сбор за пользование п. путем;1	Кол-во вагонов по ведомости;1	Общий простой по ведом.(час-ми	Сумма сбора по ведомости (ру;1
261343145	012043	Согласован	06.01.2012	07.01.2012	07.01.2012 19:05:22		1000587151	888004	0	0	0	0	0	0	1	22-00	
261343358	012045	Согласован	06.01.2012	07.01.2012	07.01.2012 19:10:42		1000587151	888004	0	0	0	0	0	0	1	5-58	
261342984	012042	Согласован	06.01.2012	07.01.2012	07.01.2012 19:02:35		1000587151	888004	0	0	0	0	0	0	1	27-00	
261331747	070103	Согласован	07.01.2012	07.01.2012	07.01.2012 15:40:55		1000587151	885504	0	0	0	0	0	0	1	2-55	
261342822	012041	Согласован	06.01.2012	07.01.2012	07.01.2012 18:58:22		1000587151	888004	0	0	0	0	0	0	1	10-30	
261392292	080105	Согласован	07.01.2012	08.01.2012	08.01.2012 12:30:32		1000587151	885504	0	0	0	0	0	0	1	22-00	
261642752	013008	Согласован	28.12.2011	11.01.2012	11.01.2012 5:37:54		1000587151	895101	0	0	0	0	0	0	7	1821-45	
261642145	013007	Согласован	28.12.2011	11.01.2012	11.01.2012 5:28:48		1000587151	895101	0	0	0	0	0	0	5	946-15	
261857084	013001	Согласован	06.01.2012	12.01.2012	12.01.2012 19:36:22	12.01.2012 19:36:47	1000587151	893500	0	0	4053,4	0	0	0	1	147-45	4053,4
261927983	013010	Согласован	05.01.2012	13.01.2012	13.01.2012 11:46:43	13.01.2012 11:46:44	1000587151	895101	34698,8	0	0	0	0	0	4	1456-00	34698,8
261966428	130114	Согласован	12.01.2012	13.01.2012	13.01.2012 15:52:11		1000587151	885504	0	0	0	0	0	0	2	53-00	
261924178	013009	На подписи	08.01.2012	13.01.2012	13.01.2012 11:24:15	13.01.2012 11:24:17	1000587151	895101	33581,1	0	0	0	0	0	7	1554-00	33581,1
