Дата создания документа	Идентификатор накладной	№ вагона	№ накладной	Состояние накладной	Дата приемосд. (все док-ты)	Дата прибытия	Дата раскр. (все док-ты)	Папка	Номер заявки	Идентификатор заявки	Код ТГНЛ Грузоотправителя	ОКПО Грузоотправителя	Наименование Грузоотправителя	Код ТГНЛ Грузополучателя	ОКПО Грузополучателя	Наименование Грузополучателя	Наим. станции отправления	Код станции отправления	Код плательщика на ст. отпр.	Код станции назначения	ОКПО порта назначения	Код груза ЕТ СНГ	Масса груза погруженая (кг)	Код типа собств. вагона	ОКПО организации собственника	Наим. организации собственника	Сумма сбора	Сумма налога	Количество вагонов	Срок доставки	Дата приемосд. (действующие до	Код плательщика на ст. назн.	Итого сумма по прибытию	Итого НДС по прибытию
30.07.2012 23:53:00	282716136	54438619	00106253	Работа с документом окончена	30.07.2012 1:00:00	08.08.2012 3:01:00	08.08.2012 6:08:45	Прибытие			9999		ЦЗИНЬ СЯН ЮАНЬ	2031	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	12.08.2012	30.07.2012 1:00:00	1002256437	24232	4361,76
28.07.2012 21:59:23	282528807	54381975	00106254	Работа с документом окончена	28.07.2012 1:00:00	09.08.2012 13:45:00	10.08.2012 5:25:08	Прибытие			9999		ЦЗИНЬ СЯН ЮАНЬ	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	20915	3764,7	1	10.08.2012	28.07.2012 1:00:00	1000587151	20915	3764,7
30.07.2012 23:50:36	282716076	54458062	00106255	Работа с документом окончена	30.07.2012 1:00:00	08.08.2012 3:01:00	08.08.2012 6:05:08	Прибытие			9999		ЦЗИНЬ СЯН ЮАНЬ	2031	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	12.08.2012	30.07.2012 1:00:00	1000587151	24232	4361,76
09.08.2012 15:46:30	283745893	54469317	00106256	Работа с документом окончена	09.08.2012 1:00:35	18.08.2012 1:32:00	18.08.2012 8:50:27	Прибытие			9999		МАНЖУРСКАЯ ТОРГ.ЭКОНОМ. КОМПАНИЯ СИНЬ ЮЭЙ	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	22.08.2012	09.08.2012 1:00:35	1002256437	24232	4361,76
10.08.2012 21:27:11	283890264	54483433	00106257	Работа с документом окончена	10.08.2012 1:00:12	19.08.2012 11:35:00	19.08.2012 14:04:36	Прибытие			9999		МАНЖУРСКАЯ ТОРГ.ЭКОНОМ. КОМПАНИЯ	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	23.08.2012	10.08.2012 1:00:12	1002256437	24232	4361,76
28.07.2012 6:09:35	282472468	54202551	00106306	Работа с документом окончена	28.07.2012 1:00:00	06.08.2012 3:10:00	06.08.2012 11:29:50	Прибытие			9999		СИНЬ МАНЬ	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	20915	3764,7	1	10.08.2012	28.07.2012 1:00:00	1000587151	20915	3764,7
05.08.2012 11:38:58	283285772	54470547	00106307	Работа с документом окончена	05.08.2012 1:00:00	23.08.2012 21:50:00	24.08.2012 4:47:16	Прибытие			9999		СИНЬ   МАНЬ	2031	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	18.08.2012	05.08.2012 1:00:00	1002256437	24232	4361,76
28.07.2012 21:57:50	282528760	54458559	00106310	Работа с документом окончена	28.07.2012 1:00:00	09.08.2012 13:45:00	10.08.2012 5:22:56	Прибытие			9999		СИНЬ И	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	10.08.2012	28.07.2012 1:00:00	1000587151	24232	4361,76
30.07.2012 13:40:00	282661076	54478821	00106320	Работа с документом окончена	30.07.2012 1:00:01	08.08.2012 14:01:00	09.08.2012 6:22:12	Прибытие			9999		СИНЬ	2031	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	12.08.2012	30.07.2012 1:00:01	1000587151	24232	4361,76
03.08.2012 6:29:40	283092087	54424049	00106327	Работа с документом окончена	03.08.2012 1:00:45	13.08.2012 3:45:00	13.08.2012 10:01:19	Прибытие			9999		СИНЬ И	2031	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	16.08.2012	03.08.2012 1:00:45	1002256437	24232	4361,76
