Идентификатор накладной	№ вагона	№ накладной	Состояние накладной	Дата приемосд. (все док-ты)	Дата прибытия	Дата раскр. (все док-ты)	Папка	Номер заявки	Идентификатор заявки	Код ТГНЛ Грузоотправителя	ОКПО Грузоотправителя	Наименование Грузоотправителя	Код ТГНЛ Грузополучателя	ОКПО Грузополучателя	Наименование Грузополучателя	Код станции отправления	Код плательщика на ст. отпр.	Код станции назначения	ОКПО порта назначения	Код груза ЕТ СНГ	Масса груза погруженая (кг);1	Код типа собств. вагона	ОКПО организации собственника	Наим. организации собственника	Сумма сбора;1	Сумма налога;1	Количество вагонов;1	Срок доставки	Дата приемосд. (действующие до	Код плательщика на ст. назн.	Итого сумма по прибытию;1	Итого НДС по прибытию;1
273367895	54853312	АП547407	Сторнирован по назначению	01.05.2012 10:27:19	08.05.2012 19:20:00	09.05.2012 11:14:36	Не действительны	0020901223	271385294	4048	58789423	ООО,,ТрансЦентр,,	9999		Маньчжурская компания с ограниченной ответственностью "Хао Мин"	895101	1000587151	947005		081188	60000	1	93294342	ООО "ТрансЛес"	31620	0	1	14.05.2012		1000587151	0	0
270769725	54483672	АП547340	Сторнирован по назначению	06.04.2012 9:39:42	29.04.2012 17:20:00		Не действительны	0020742827	268215783	4048	58789423	ООО,,ТрансЦентр,,	9999		ТЭК/СИНЬ ЮЭЙ/	895101	1000587151	947005		091118	57300	1	82404922	ОАО "Первая грузовая компания"	35134	0	1	19.04.2012			0	0
273070097	54427000	АМ629843	Сторнирован по отправлению	28.04.2012 6:30:41			Не действительны	0020908758	271505229	4048	58789423	ООО,,ТрансЦентр,,	1000		"BASHIR NAVID CO LTD"	880801	1000587151	736304		091118	52900	1	74296720	ОАО Холдинговая компания "Новотранс"	32228	0	1	22.05.2012			0	0
272859610	54436126	АП538878	Сторнирован по назначению	26.04.2012 11:04:11	02.05.2012 4:30:00	02.05.2012 12:21:04	Не действительны	0020743078	272762686	2031	58789423	ООО,,ТрансЦентр,,	9999		Маньчжурская торгово-экономическая компания с ограниченной ответственностью "Тянь Жень"	893500	1000587151	947005		081135	55140	1	93294342	ООО "ТрансЛес"	31093	0	1	09.05.2012		1000587151	0	0
270285752	42634717	АП547328	Работа с документом окончена	02.04.2012 7:36:39	10.04.2012 16:50:00	11.04.2012 9:12:05	Прибытие	0020742827	268215783	4048	58789423	ООО,,ТрансЦентр,,	9999		ТЭК/СИНЬ ЮЭЙ/	895101	1000587151	947005		091118	63000	1	93294342	ООО "ТрансЛес"	36909	0	1	15.04.2012	02.04.2012 7:36:39	1000587151	0	0
270286514	54436878	АП547329	Работа с документом окончена	02.04.2012 7:46:02	10.04.2012 16:50:00	11.04.2012 8:43:34	Прибытие	0020742827	268215783	4048	58789423	ООО,,ТрансЦентр,,	9999		ТЭК/СИНЬ ЮЭЙ/	895101	1000587151	947005		091118	56900	1	93294342	ООО "ТрансЛес"	35134	0	1	15.04.2012	02.04.2012 7:46:02	1000587151	0	0
270303486	59908582	ЭИ417375	Работа с документом окончена	02.04.2012 10:20:06	16.04.2012 21:54:00	17.04.2012 12:00:36	Прибытие	0020772375	268790876	4048	58789423	ООО,,ТрансЦентр,,	8289	75652619	ООО "Русский лес"	895101	1000587151	313304		081135	69000	1	74296720	ОАО Холдинговая компания "Новотранс"	47384	8529,12	1	16.04.2012	02.04.2012 10:20:06	1000587151	0	0
270333316	54439187	АП538472	Работа с документом окончена	02.04.2012 13:54:14	09.04.2012 5:35:00	10.04.2012 7:23:49	Прибытие	0020747264	268303701	2031	58789423	ООО,,ТрансЦентр,,	9999		ООО Маньчжурская ТПК "Синь И"	893500	1000587151	947005		091118	57850	1	93294342	ООО "ТрансЛес"	35134	0	1	15.04.2012	02.04.2012 13:54:14	1000587151	0	0
270358001	54424049	АП538480	Работа с документом окончена	02.04.2012 16:28:04	10.04.2012 14:25:00	11.04.2012 13:50:49	Прибытие	0020747264	268303701	2031	58789423	ООО,,ТрансЦентр,,	9999		ООО Маньчжурская ТПК "Синь И"	893500	1000587151	947005		091118	56030	1	93294342	ООО "ТрансЛес"	35134	0	1	15.04.2012	02.04.2012 16:28:04	1000587151	0	0
270359321	54474556	АП538478	Работа с документом окончена	02.04.2012 16:37:55	09.04.2012 5:35:00	10.04.2012 7:24:40	Прибытие	0020747264	268303701	2031	58789423	ООО,,ТрансЦентр,,	9999		ООО Маньчжурская ТПК "Синь И"	893500	1000587151	947005		091118	62800	1	93294342	ООО "ТрансЛес"	36909	0	1	15.04.2012	02.04.2012 16:37:55	1000587151	0	0
