Идентификатор накладной	№ вагона	№ накладной	Состояние накладной	Дата приемосд. (все док-ты)	Дата прибытия	Дата раскр. (все док-ты)	Папка	Номер заявки	Идентификатор заявки	Код ТГНЛ Грузоотправителя	ОКПО Грузоотправителя	Наименование Грузоотправителя	Код ТГНЛ Грузополучателя	ОКПО Грузополучателя	Наименование Грузополучателя	Код станции отправления	Код плательщика на ст. отпр.	Код станции назначения	ОКПО порта назначения	Код груза ЕТ СНГ	Масса груза погруженая (кг);1	Код типа собств. вагона	ОКПО организации собственника	Наим. организации собственника	Сумма сбора;1	Сумма налога;1	Количество вагонов;1	Срок доставки	Дата приемосд. (действующие до	Код плательщика на ст. назн.	Итого сумма по прибытию;1	Итого НДС по прибытию;1
271261728	55776066	З0843159	Работа с документом окончена	06.04.2012 0:00:01	22.04.2012 23:07:00	23.04.2012 4:45:17	Прибытие			1291		темирбетон	4048	58789423	ООО,,ТрансЦентр,,	701809		885504		371051	64200	2	88334298	ЗАО "Спецэнерготранс"	54810	9865,8	1	18.04.2012	06.04.2012 0:00:01	1001524978	54810	9865,8
270805755	54459979	00547276	Работа с документом окончена	06.04.2012 1:00:00	15.04.2012 8:04:00	15.04.2012 10:53:19	Прибытие			9999		синь юэй	4048	58789423	ООО,,ТрансЦентр,,	947005		895101		421034	0	1	93294342	ООО "ТрансЛес"	24274	4369,32	1	19.04.2012	06.04.2012 1:00:00	1000587151	24274	4369,32
269919624	44624781	АГ917779	Работа с документом окончена	06.04.2012 1:00:00	12.04.2012 20:45:00	13.04.2012 6:01:31	Прибытие			4048	58789423	ООО,,ТрансЦентр,,	4048	58789423	ООО,,ТрансЦентр,,	947005	1000587151	893500		421034	0	1	82404922	ОАО "Первая грузовая компания"	24232	4361,76	1	19.04.2012	06.04.2012 1:00:00	1000587151	24232	4361,76
270054825	54496963	АГ918091	Работа с документом окончена	06.04.2012 1:00:00	15.04.2012 8:04:00	15.04.2012 10:48:39	Прибытие			4048	58789423	ООО,,ТрансЦентр,,	4048	58789423	ООО,,ТрансЦентр,,	947005	1000587151	895101		421034	0	1	93294342	ООО "ТрансЛес"	24274	4369,32	1	19.04.2012	06.04.2012 1:00:00	1000587151	24274	4369,32
270853844	54432968	00547277	Работа с документом окончена	06.04.2012 1:00:08	15.04.2012 8:04:00	15.04.2012 11:03:45	Прибытие			2274	93294342	ООО "ТрансЛес"	4048	58789423	ООО,,ТрансЦентр,,	947005		895101		421034	0	1	93294342	ООО "ТрансЛес"	24274	4369,32	1	19.04.2012	06.04.2012 1:00:08	1000587151	24274	4369,32
270805507	54452560	00547275	Работа с документом окончена	06.04.2012 1:00:09	15.04.2012 8:04:00	15.04.2012 10:56:26	Прибытие			9999		синь юэй	4048	58789423	ООО,,ТрансЦентр,,	947005		895101		421034	0	1	93294342	ООО "ТрансЛес"	24274	4369,32	1	19.04.2012	06.04.2012 1:00:09	1000587151	24274	4369,32
270805224	54441704	00547286	Работа с документом окончена	06.04.2012 1:00:17	12.04.2012 22:50:00	13.04.2012 8:43:23	Прибытие			9999		синь юэй	4048	58789423	ООО,,ТрансЦентр,,	947005		895101		421034	0	1	93294342	ООО "ТрансЛес"	24274	4369,32	1	19.04.2012	06.04.2012 1:00:17	1000587151	24274	4369,32
270741640	54489521	00547285	Работа с документом окончена	06.04.2012 1:00:19	11.04.2012 22:52:00	12.04.2012 10:28:00	Прибытие			9999		синь юэй	4048	58789423	ООО,,ТрансЦентр,,	947005		895101		421034	0	1	93294342	ООО "ТрансЛес"	24274	4369,32	1	19.04.2012	06.04.2012 1:00:19	1000587151	24274	4369,32
270803942	54861323	00547283	Работа с документом окончена	06.04.2012 1:00:29	11.04.2012 22:52:00	12.04.2012 10:25:04	Прибытие			9999		синь юэй	4048	58789423	ООО,,ТрансЦентр,,	947005		895101		421034	0	1	93294342	ООО "ТрансЛес"	24274	4369,32	1	19.04.2012	06.04.2012 1:00:29	1000587151	24274	4369,32
270853799	54440615	00547278	Работа с документом окончена	06.04.2012 1:00:35	15.04.2012 8:04:00	15.04.2012 11:06:50	Прибытие			2274	93294342	ООО "ТрансЛес"	4048	58789423	ООО,,ТрансЦентр,,	947005		895101		421034	0	1	93294342	ООО "ТрансЛес"	24274	4369,32	1	19.04.2012	06.04.2012 1:00:35	1000587151	24274	4369,32
270813097	54456769	00538228	Работа с документом окончена	06.04.2012 1:00:42	12.04.2012 20:45:00	13.04.2012 6:07:33	Прибытие			9999		СИНЬ МАНЬ	4048	58789423	ООО,,ТрансЦентр,,	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	19.04.2012	06.04.2012 1:00:42	1000587151	24232	4361,76
270853891	54486204	00547279	Работа с документом окончена	06.04.2012 1:00:44	15.04.2012 8:04:00	15.04.2012 10:59:42	Прибытие			2274	93294342	ООО "ТрансЛес"	4048	58789423	ООО,,ТрансЦентр,,	947005		895101		421034	0	1	82404922	ОАО "Первая грузовая компания"	24274	4369,32	1	19.04.2012	06.04.2012 1:00:44	1000587151	24274	4369,32
270804583	54470620	00547281	Работа с документом окончена	06.04.2012 1:00:48	11.04.2012 22:52:00	12.04.2012 11:01:53	Прибытие			9999		синь юэй	4048	58789423	ООО,,ТрансЦентр,,	947005		895101		421034	0	1	93294342	ООО "ТрансЛес"	24274	4369,32	1	19.04.2012	06.04.2012 1:00:48	1000587151	24274	4369,32
